group,trades,win_rate_pct,avg_profit_pct,median_profit_pct,avg_hold_hours,post_exit_n,early_exit_pct,good_exit_pct,median_ret_20d_after_sell,avg_ret_20d_after_sell
스윙 BEAR 차단·진입 강화,39,30.8,-3.44,-0.97,138.7,36,36.1,36.1,-1.06,-0.77
Phase4 + 스윙 리팩터,37,45.9,-0.75,-0.11,98.6,28,25.0,60.7,-10.94,-9.86
Instant Out 방어,26,26.9,-0.66,-1.06,88.0,25,24.0,8.0,2.13,1.58
V5 레거시,23,52.2,7.9,0.2,283.5,23,43.5,34.8,1.25,9.74
market_cycles 분리,22,40.9,0.26,-0.85,90.0,22,40.9,9.1,1.86,8.76
V8 + 멀티전략,6,50.0,0.0,1.21,154.2,6,16.7,33.3,-1.05,1.69
Phase3 AI + Phase5 서킷,4,0.0,-4.43,-1.65,76.8,3,0.0,33.3,-3.92,-5.1
미상,2,50.0,0.04,0.04,749.4,2,0.0,50.0,-1.86,-1.86
Equity 스냅샷 서킷 (로컬),1,0.0,-0.04,-0.04,0.2,0,,,,
